M,m,k_star,s_min,analytic_s_min,s_min_abs_error,F_min_tau0_3,plane_concave_L_over_R,P_noise_at_boundary,ER_sum_dB_at_boundary,eta_sort_at_boundary
26,5,0.19230769230769232,0.03846153846153788,0.038461538461538464,5.828670879282072e-16,78.0,0.3226975564787322,0.08959823045418158,10.477005674759692,0.9177694787400361
26,7,0.2692307692307692,0.03846153846153788,0.038461538461538464,5.828670879282072e-16,78.0,0.5602683401276615,0.08959823045418158,10.477005674759692,0.9177694787400361
26,9,0.34615384615384615,0.03846153846153744,0.038461538461538464,1.0269562977782698e-15,78.0,0.784032373365578,0.08959823045418158,10.477005674759692,0.9177694787400361
26,11,0.4230769230769231,0.03846153846153744,0.038461538461538464,1.0269562977782698e-15,78.0,0.9427280128266049,0.08959823045418158,10.477005674759692,0.9177694787400361
27,1,0.037037037037037035,0.03703703703703698,0.037037037037037035,5.551115123125783e-17,81.0,0.013477564710088078,0.08960980074796288,10.47644488351429,0.9177597331756284
27,2,0.07407407407407407,0.03703703703703687,0.037037037037037035,1.6653345369377348e-16,81.0,0.053183679838293856,0.08960980074796288,10.47644488351429,0.9177597331756284
27,4,0.14814814814814814,0.03703703703703676,0.037037037037037035,2.7755575615628914e-16,81.0,0.20142070414860686,0.08960980074796288,10.47644488351429,0.9177597331756284
27,5,0.18518518518518517,0.03703703703703631,0.037037037037037035,7.216449660063518e-16,81.0,0.3019601169804216,0.08960980074796288,10.47644488351429,0.9177597331756284
27,7,0.25925925925925924,0.03703703703703631,0.037037037037037035,7.216449660063518e-16,81.0,0.529072414455238,0.08960980074796288,10.47644488351429,0.9177597331756284
27,8,0.2962962962962963,0.03703703703703631,0.037037037037037035,7.216449660063518e-16,81.0,0.643401616355545,0.08960980074796288,10.47644488351429,0.9177597331756284
27,10,0.37037037037037035,0.03703703703703587,0.037037037037037035,1.1657341758564144e-15,81.0,0.8431208189343667,0.08960980074796288,10.47644488351429,0.9177597331756284
27,11,0.4074074074074074,0.03703703703703631,0.037037037037037035,7.216449660063518e-16,81.0,0.9177439057064682,0.08960980074796288,10.47644488351429,0.9177597331756284
27,13,0.48148148148148145,0.037037037037035814,0.037037037037037035,1.2212453270876722e-15,81.0,0.9966191788709714,0.08960980074796288,10.47644488351429,0.9177597331756284
28,1,0.03571428571428571,0.0357142857142857,0.03571428571428571,1.3877787807814457e-17,84.0,0.012536043909088196,0.08962015407319845,10.4759431379184,0.9177510128293956
28,3,0.10714285714285714,0.03571428571428542,0.03571428571428571,2.914335439641036e-16,84.0,0.10908425876598511,0.08962015407319845,10.4759431379184,0.9177510128293956
28,5,0.17857142857142858,0.03571428571428514,0.03571428571428571,5.689893001203927e-16,84.0,0.28305813044122097,0.08962015407319845,10.4759431379184,0.9177510128293956
28,9,0.32142857142857145,0.03571428571428559,0.03571428571428571,1.249000902703301e-16,84.0,0.716941869558779,0.08962015407319845,10.4759431379184,0.9177510128293956
28,11,0.39285714285714285,0.0357142857142847,0.03571428571428571,1.0130785099704553e-15,84.0,0.890915741234015,0.08962015407319845,10.4759431379184,0.9177510128293956
28,13,0.4642857142857143,0.0357142857142847,0.03571428571428571,1.0130785099704553e-15,84.0,0.9874639560909119,0.08962015407319845,10.4759431379184,0.9177510128293956
29,1,0.034482758620689655,0.03448275862068961,0.034482758620689655,4.163336342344337e-17,87.0,0.01168972214495666,0.08962945528872601,10.475492429367723,0.9177431787900995
29,2,0.06896551724137931,0.0344827586206895,0.034482758620689655,1.5265566588595902e-16,87.0,0.046212290164521476,0.08962945528872601,10.475492429367723,0.9177431787900995
29,3,0.10344827586206896,0.034482758620689516,0.034482758620689655,1.3877787807814457e-16,87.0,0.10195346714717811,0.08962945528872601,10.475492429367723,0.9177431787900995
29,4,0.13793103448275862,0.03448275862068939,0.034482758620689655,2.636779683484747e-16,87.0,0.1763068576090862,0.08962945528872601,10.475492429367723,0.9177431787900995
29,5,0.1724137931034483,0.03448275862068906,0.034482758620689655,5.967448757360216e-16,87.0,0.2657957796501049,0.08962945528872601,10.475492429367723,0.9177431787900995
29,6,0.20689655172413793,0.0344827586206895,0.034482758620689655,1.5265566588595902e-16,87.0,0.36623583073538957,0.08962945528872601,10.475492429367723,0.9177431787900995
29,7,0.2413793103448276,0.0344827586206895,0.034482758620689655,1.5265566588595902e-16,87.0,0.4729305457072911,0.08962945528872601,10.475492429367723,0.9177431787900995
29,8,0.27586206896551724,0.03448275862068928,0.034482758620689655,3.7470027081099033e-16,87.0,0.5808909982763824,0.08962945528872601,10.475492429367723,0.9177431787900995
