model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
bolduc,scaled_w0,8,0.08,0.3333333333333333,1.0,1.0,9.144596696122123e-05,9.144596696122123e-05,0.0005128435094444923,0.9999085540330388,8
bolduc,scaled_w0,0,0.16,1.0,1.0,0.9999996378189155,0.974724462106845,0.9747248151337355,0.00015961177473037327,0.025275184866264455,0
bolduc,scaled_w0,1,0.16,0.7071067811865475,1.0,0.9999999999925309,0.7377668884501666,0.7377668884556774,0.14214687668172998,0.2622331115443226,0
bolduc,scaled_w0,2,0.16,0.5773502691896258,1.0,0.9999999999999999,0.37554524455159183,0.375545244551592,0.2495401472122063,0.624454755448408,0
bolduc,scaled_w0,3,0.16,0.5,1.0,1.0,0.1420482865134535,0.1420482865134535,0.18213652100984015,0.8579517134865465,1
bolduc,scaled_w0,4,0.16,0.4472135954999579,1.0,1.0000000000000002,0.042552270473999336,0.042552270473999336,0.08430835461002337,0.9574477295260007,2
bolduc,scaled_w0,5,0.16,0.4082482904638631,1.0,0.9999999999999999,0.01052977214484126,0.010529772144841265,0.02873673004258744,0.9894702278551587,4
bolduc,scaled_w0,6,0.16,0.3779644730092272,1.0,1.0000000000000004,0.0022169466327706796,0.0022169466327706783,0.007776328451119189,0.9977830533672293,5
bolduc,scaled_w0,7,0.16,0.35355339059327373,1.0,0.9999999999999999,0.0004058608227166755,0.0004058608227166757,0.0017477842970298287,0.9995941391772833,7
bolduc,scaled_w0,8,0.16,0.3333333333333333,1.0,1.0,6.569135964923618e-05,6.569135964923618e-05,0.0003362346056431924,0.9999343086403507,8
yang_phase_only,same_w0,0,0.0,1.0,1.0,0.9999998132176445,0.9999996264353239,0.9999998132176445,8.374303738001382e-12,1.867823554713155e-07,0
yang_phase_only,same_w0,1,0.0,1.0,1.0,0.9999998132176448,0.7853987238577711,0.7853988705564219,0.09818062052910745,0.21460112944357812,0
yang_phase_only,same_w0,2,0.0,1.0,1.0,0.9999998132176448,0.4999969193837322,0.4999970127743522,0.16668061609147458,0.5000029872256477,0
yang_phase_only,same_w0,3,0.0,1.0,1.0,0.9999998132176445,0.2945187598508971,0.294518814861815,0.16569615864866527,0.705481185138185,0
yang_phase_only,same_w0,4,0.0,1.0,1.0,0.9999998132176445,0.16665816746389583,0.16665819859270684,0.1333728703889265,0.8333418014072932,0
yang_phase_only,same_w0,5,0.0,1.0,1.0,0.9999998132176445,0.09202733805100191,0.09202735524008808,0.09592493601131043,0.9079726447599119,1
yang_phase_only,same_w0,6,0.0,1.0,1.0,0.9999998132176445,0.04998587403802597,0.049985883374507004,0.06434444813276431,0.950014116625493,1
yang_phase_only,same_w0,7,0.0,1.0,1.0,0.9999998132176448,0.026828688966478977,0.02682869397760563,0.041167000161298525,0.9731713060223943,3
yang_phase_only,same_w0,8,0.0,1.0,1.0,0.9999998132176448,0.014268871035912954,0.014268873701086789,0.025455132602459175,0.9857311262989132,4
yang_phase_only,same_w0,0,0.08,1.0,1.0,0.9999997745543393,0.9936200465961812,0.9936202706035598,1.0155356201920595e-05,0.006379729396440159,0
yang_phase_only,same_w0,1,0.08,1.0,1.0,0.999999774554339,0.7729256395547048,0.7729258138074758,0.09233687688089846,0.22707418619252417,0
