detuning_from_l0_peak_mhz,T_l0_exp_rising_smooth,T_l9_exp_rising_smooth,T_overlap_min_exp_rising_smooth
122.5519684462779,0.5736757989590293,0.5373745107596437,0.5373745107596437
123.00285472127143,0.5720681528353972,0.5360046817445728,0.5360046817445728
123.45374099626497,0.570460506711765,0.534634852729502,0.534634852729502
123.9046272712585,0.5688528605881329,0.5332650237144311,0.5332650237144311
124.35551354625204,0.5672452144645007,0.5318951946993602,0.5318951946993602
124.80639982124558,0.5656375683408684,0.5305253656842893,0.5305253656842893
125.25728609623911,0.5640299222172361,0.5291555366692184,0.5291555366692184
125.70817237123265,0.5624222760936041,0.5277857076541475,0.5277857076541475
126.15905864622619,0.5608146299699718,0.5264158786390766,0.5264158786390766
126.60994492121972,0.5592069838463396,0.5250460496240057,0.5250460496240057
127.06083119621326,0.5575993377227075,0.5236762206089348,0.5236762206089348
127.5117174712068,0.5559916915990754,0.5223063915938639,0.5223063915938639
127.96260374620033,0.554384045475443,0.520936562578793,0.520936562578793
128.41349002119387,0.5527763993518108,0.5195667335637221,0.5195667335637221
128.8643762961874,0.5511687532281787,0.5181969045486513,0.5181969045486513
129.31526257118094,0.5495611071045464,0.5168270755335802,0.5168270755335802
129.76614884617447,0.5479534609809142,0.5154572465185093,0.5154572465185093
130.217035121168,0.5463458148572821,0.5140874175034386,0.5140874175034386
130.66792139616155,0.5447381687336499,0.5127175884883677,0.5127175884883677
131.11880767115508,0.5431305226100177,0.5113477594732968,0.5113477594732968
131.56969394614862,0.5415228764863856,0.5099779304582258,0.5099779304582258
132.02058022114215,0.5399152303627534,0.5086081014431549,0.5086081014431549
132.4714664961357,0.5383075842391213,0.5072382724280841,0.5072382724280841
132.92235277112923,0.5366999381154891,0.5058684434130131,0.5058684434130131
133.37323904612276,0.5350922919918569,0.5044986143979422,0.5044986143979422
133.8241253211163,0.5334846458682246,0.5031287853828713,0.5031287853828713
134.27501159610983,0.5318769997445925,0.5017589563678004,0.5017589563678004
134.72589787110337,0.5302693536209603,0.5003891273527294,0.5003891273527294
135.1767841460969,0.528661707497328,0.4990192983376587,0.4990192983376587
135.62767042109044,0.5270540613736958,0.49764946932258775,0.49764946932258775
136.07855669608398,0.5254464152500636,0.49627964030751687,0.49627964030751687
136.52944297107751,0.5238387691264315,0.49490981129244593,0.49490981129244593
136.98032924607105,0.5222311230027993,0.49353998227737506,0.49353998227737506
137.4312155210646,0.5206234768791671,0.4921701532623042,0.4921701532623042
137.88210179605812,0.5190158307555349,0.4908003242472333,0.4908003242472333
138.33298807105166,0.5174081846319027,0.4894304952321623,0.4894304952321623
138.7838743460452,0.5158005385082705,0.48806066621709143,0.48806066621709143
139.23476062103873,0.5141928923846383,0.48669083720202067,0.48669083720202067
139.68564689603227,0.5125852462610062,0.4853210081869497,0.4853210081869497
140.1365331710258,0.510977600137374,0.48395117917187863,0.48395117917187863
140.58741944601934,0.5093699540137419,0.4825813501568078,0.4825813501568078
141.03830572101288,0.5077623078901096,0.48121152114173704,0.48121152114173704
141.4891919960064,0.5061546617664774,0.47984169212666605,0.47984169212666605
141.94007827099995,0.5045470156428453,0.4784718631115952,0.4784718631115952
142.39096454599348,0.502939369519213,0.4771020340965243,0.4771020340965243
142.84185082098702,0.5013317233955809,0.47573220508145353,0.47573220508145353
143.29273709598056,0.4997240772719486,0.47436237606638254,0.47436237606638254
143.7436233709741,0.4981164311483165,0.4729925470513115,0.4729925470513115
144.19450964596763,0.4965087850246842,0.4716227180362406,0.4716227180362406
144.64539592096116,0.49490113890105214,0.4702528890211698,0.4702528890211698
145.0962821959547,0.4932934927774199,0.4688830600060989,0.4688830600060989
145.54716847094824,0.49168584665378773,0.467513230991028,0.467513230991028
145.99805474594177,0.4900782005301555,0.46614340197595716,0.46614340197595716
146.4489410209353,0.48847055440652337,0.4647735729608863,0.4647735729608863
146.89982729592884,0.4868629082828912,0.4634037439458153,0.4634037439458153
