detuning_from_l0_peak_mhz,T_l0_exp_rising_raw,T_l9_exp_rising_raw,T_overlap_min_exp_rising_raw
139.68564689603227,0.51232176997495,0.4846840789697155,0.4846840789697155
140.1365331710258,0.5107149502048524,0.48331604770110026,0.48331604770110026
140.58741944601934,0.5091081304347546,0.4819480164324851,0.4819480164324851
141.03830572101288,0.5075013106646568,0.4805799851638698,0.4805799851638698
141.4891919960064,0.505894490894559,0.4792119538952545,0.4792119538952545
141.94007827099995,0.5042876711244613,0.4778439226266393,0.4778439226266393
142.39096454599348,0.5026808513543636,0.476475891358024,0.476475891358024
142.84185082098702,0.5010740315842658,0.4751078600894087,0.4751078600894087
143.29273709598056,0.49946721181416803,0.47373982882079346,0.47373982882079346
143.7436233709741,0.4978603920440703,0.4723717975521782,0.4723717975521782
144.19450964596763,0.49625357227397243,0.471003766283563,0.471003766283563
144.64539592096116,0.4946467525038748,0.4696357350149477,0.4696357350149477
145.0962821959547,0.49303993273377705,0.4682677037463325,0.4682677037463325
145.54716847094824,0.4914331129636793,0.4668996724777172,0.4668996724777172
145.99805474594177,0.48982629319358145,0.4655316412091019,0.4655316412091019
146.4489410209353,0.48821947342348376,0.4641636099404866,0.4641636099404866
146.89982729592884,0.486612653653386,0.4627955786718714,0.4627955786718714
147.35071357092238,0.4850058338832883,0.4614275474032561,0.4614275474032561
147.80159984591592,0.48339901411319053,0.4600595161346408,0.4600595161346408
148.25248612090945,0.4817921943430928,0.4586914848660256,0.4586914848660256
148.703372395903,0.48018537457299504,0.4573234535974104,0.4573234535974104
149.15425867089652,0.4785785548028972,0.4559554223287951,0.4559554223287951
149.60514494589006,0.47697173503279955,0.4545873910601798,0.4545873910601798
150.0560312208836,0.4753649152627018,0.4532193597915645,0.4532193597915645
150.50691749587713,0.47377982246112293,0.45198538863398924,0.45198538863398924
150.95780377087067,0.472481339652933,0.4508249270736008,0.4508249270736008
151.4086900458642,0.4712216590270053,0.4497035902529023,0.4497035902529023
151.85957632085774,0.46997457524854164,0.4485822534322038,0.4485822534322038
152.31046259585128,0.468727491470078,0.44746091661150533,0.44746091661150533
152.7613488708448,0.4674804076916144,0.44633957979080685,0.44633957979080685
153.21223514583835,0.46623332391315075,0.4452182429701083,0.4452182429701083
153.66312142083189,0.4649862401346871,0.44409690614940983,0.44409690614940983
154.11400769582542,0.46373915635622337,0.44297556932871135,0.44297556932871135
154.56489397081896,0.46249207257775976,0.44185423250801287,0.44185423250801287
155.0157802458125,0.4612449887992961,0.4407328956873143,0.4407328956873143
155.46666652080603,0.4599979050208325,0.4396115588666158,0.4396115588666158
155.91755279579957,0.4587508212423688,0.43849022204591726,0.43849022204591726
156.3684390707931,0.4575037374639052,0.4373688852252188,0.4373688852252188
156.81932534578664,0.4562566536854415,0.4362475484045203,0.4362475484045203
157.27021162078017,0.4550095699069779,0.4351262115838217,0.4351262115838217
157.7210978957737,0.4537624861285142,0.4340048747631232,0.4340048747631232
158.17198417076725,0.4525154023500506,0.4328835379424248,0.4328835379424248
158.62287044576078,0.45126831857158695,0.4317622011217263,0.4317622011217263
159.07375672075432,0.45002123479312334,0.4306408643010278,0.4306408643010278
159.52464299574785,0.4487741510146596,0.42951952748032923,0.42951952748032923
159.9755292707414,0.447527067236196,0.42839819065963075,0.42839819065963075
160.42641554573493,0.44627998345773234,0.42727685383893227,0.42727685383893227
160.87730182072846,0.44503289967926873,0.42615551701823373,0.42615551701823373
161.328188095722,0.44378581590080507,0.42503418019753525,0.42503418019753525
161.77907437071553,0.44253873212234146,0.42391284337683666,0.42391284337683666
162.22996064570907,0.4412916483438778,0.4227915065561382,0.4227915065561382
162.6808469207026,0.44004456456541413,0.4216701697354397,0.4216701697354397
163.13173319569614,0.43879748078695047,0.42054883291474127,0.42054883291474127
163.58261947068968,0.43755039700848686,0.4194274960940428,0.4194274960940428
164.03350574568321,0.4363033132300232,0.4183061592733443,0.4183061592733443
164.48439202067675,0.4350562294515596,0.4171848224526457,0.4171848224526457
164.9352782956703,0.4338091456730959,0.4160634856319472,0.4160634856319472
165.38616457066382,0.43256206189463225,0.4149421488112487,0.4149421488112487
165.83705084565736,0.4313149781161686,0.4138208119905502,0.4138208119905502
166.2879371206509,0.430067894337705,0.4126994751698516,0.4126994751698516
166.73882339564443,0.4288208105592413,0.41157813834915313,0.41157813834915313
167.18970967063797,0.4275737267807777,0.41045680152845465,0.41045680152845465
167.6405959456315,0.42632664300231404,0.40933546470775617,0.40933546470775617
168.09148222062504,0.4250795592238504,0.40821412788705774,0.40821412788705774
168.54236849561858,0.4238324754453867,0.4070927910663592,0.4070927910663592
168.9932547706121,0.4225853916669231,0.4059714542456606,0.4059714542456606
169.44414104560565,0.42133830788845944,0.40485011742496213,0.40485011742496213
169.89502732059918,0.42009122410999583,0.40372878060426365,0.40372878060426365
170.34591359559272,0.41884414033153217,0.40260744378356517,0.40260744378356517
170.79679987058626,0.4175970565530685,0.4014861069628667,0.4014861069628667
171.2476861455798,0.41634997277460484,0.4003647701421682,0.4003647701421682
