rank,region_id,k,L_over_R,candidate_set_size,max_subset_size,subset_modes,s_min,F_min,F_eval_used,avg_ER_sum_dB,min_ER_sum_dB,avg_separation_efficiency,min_separation_efficiency,geometry_gap_to_target,feasible_under_budget,tau_min_at_budget,is_max_subset_for_k,max_subset_size_for_k,subset_size_gap_to_k_max,k_region_start,k_region_end,region_point_count
109,R103,0.24192,0.47462683411953166,12,6,"[1,4,15,18,31,46]",0.11264000000000021,26.633522727272677,32.0,14.453233741311712,12.966159145613057,0.9642267898105562,0.9519178840311718,0.02537316588046834,True,3.604480000000007,True,6,0,0.24082,0.24235333333333334,62
110,R083,0.24192,0.47462683411953166,12,6,"[1,4,10,27,40,46]",0.11263999999999985,26.633522727272762,32.0,14.752126639696755,13.87617902671483,0.9668819265055845,0.9606497782420682,0.02537316588046834,True,3.6044799999999952,True,6,0,0.24082,0.24235333333333334,62
111,R297,0.2844466666666666,0.6073744820318533,12,6,"[4,10,15,27,37,40]",0.11116666666666664,26.986506746626695,32.0,14.84559782220139,13.452140760600454,0.9673918911550333,0.9567882592953612,0.10737448203185329,True,3.5573333333333323,True,6,0,0.28376,0.2844466666666666,48
112,R311,0.2844466666666666,0.6073744820318533,12,6,"[4,6,10,15,37,40]",0.11116666666666664,26.986506746626695,32.0,14.782032783112008,13.461716186266129,0.967174910400053,0.9568793248269105,0.10737448203185329,True,3.5573333333333323,True,6,0,0.28376,0.2844466666666666,48
113,R334,0.2844466666666666,0.6073744820318533,12,6,"[4,6,15,31,37,40]",0.11116666666666641,26.98650674662675,32.0,14.471221741412526,13.470013453840359,0.9650963703183769,0.9569580864134803,0.10737448203185329,True,3.5573333333333252,True,6,0,0.28375999999999996,0.2844466666666666,48
114,R348,0.2844466666666666,0.6073744820318533,12,6,"[4,6,22,31,37,40]",0.11116666666666641,26.98650674662675,32.0,14.483408122652987,13.543848138271793,0.9653217495078019,0.9576529336305227,0.10737448203185329,True,3.5573333333333252,True,6,0,0.28375999999999996,0.2844466666666666,48
115,R143,0.27776,0.5867690862509962,12,6,"[1,4,6,10,18,27]",0.11104000000000003,27.017291066282414,32.0,14.923956695456598,14.18845127241346,0.968310867642758,0.9632796136485126,0.08676908625099622,True,3.553280000000001,True,6,0,0.27626,0.27898666666666666,117
116,R239,0.27776,0.5867690862509962,12,6,"[1,6,10,15,18,27]",0.11104000000000003,27.017291066282414,32.0,14.918399711997077,14.196941852393234,0.9683302896695722,0.9633487043092059,0.08676908625099622,True,3.553280000000001,True,6,0,0.27626,0.27898666666666666,117
117,R058,0.27776,0.5867690862509962,12,6,"[1,4,10,18,27,31]",0.11103999999999914,27.01729106628263,32.0,14.918400443769784,14.19674310358474,0.9683302825164626,0.9633470884545968,0.08676908625099622,True,3.5532799999999725,True,6,0,0.27626,0.27898666666666666,117
118,R123,0.27776,0.5867690862509962,12,6,"[1,4,18,27,31,46]",0.11103999999999914,27.01729106628263,32.0,14.91628551676665,14.189239672069117,0.9683163173957694,0.9632860343902442,0.08676908625099622,True,3.5532799999999725,True,6,0,0.27626,0.27898666666666666,117
