family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_m,38,2,0.052631578947,0.027091379150,0.027339624380,0.009163255540,0.677284479
fixed_m,38,4,0.105263157895,0.105429745302,0.109358497519,0.037264172516,2.635743633
fixed_m,38,8,0.210526315789,0.377257256430,0.437433990076,0.159511136289,9.431431411
fixed_r_to_half,38,1,0.473684210526,0.993180651701,0.993165093905,0.002281419810,24.829516293
fixed_r_to_half,38,2,0.447368421053,0.972908620850,0.972660375620,0.009163255540,24.322715521
fixed_r_to_half,38,4,0.394736842105,0.894570254698,0.890641502481,0.037264172516,22.364256367
fixed_r_to_half,38,8,0.289473684211,0.622742743570,0.562566009924,0.159511136289,15.568568589
fixed_m,39,1,0.025641025641,0.006474868681,0.006488891782,0.002165773869,0.161871717
fixed_m,39,2,0.051282051282,0.025731779026,0.025955567130,0.008696954186,0.643294476
fixed_m,39,4,0.102564102564,0.100278618298,0.103822268519,0.035338043951,2.506965457
fixed_m,39,8,0.205128205128,0.360891268042,0.415289074076,0.150731843221,9.022281701
fixed_m,40,1,0.025000000000,0.006155829702,0.006168502751,0.002058706765,0.153895743
fixed_m,40,2,0.050000000000,0.024471741852,0.024674011003,0.008265416966,0.611793546
fixed_m,40,4,0.100000000000,0.095491502813,0.098696044011,0.033558391103,2.387287570
fixed_m,40,8,0.200000000000,0.345491502813,0.394784176044,0.142674053717,8.637287570
fixed_r_to_half,40,1,0.475000000000,0.993844170298,0.993831497249,0.002058706765,24.846104257
fixed_r_to_half,40,2,0.450000000000,0.975528258148,0.975325988997,0.008265416966,24.388206454
fixed_r_to_half,40,4,0.400000000000,0.904508497187,0.901303955989,0.033558391103,22.612712430
fixed_r_to_half,40,8,0.300000000000,0.654508497187,0.605215823956,0.142674053717,16.362712430
fixed_m,41,1,0.024390243902,0.005859788110,0.005871269721,0.001959390171,0.146494703
fixed_m,41,2,0.048780487805,0.023301803973,0.023485078884,0.007865267079,0.582545099
fixed_m,41,4,0.097560975610,0.091035319617,0.093940315537,0.031910646686,2.275882990
fixed_m,41,8,0.195121951220,0.330991560796,0.375761262147,0.135259343906,8.274789020
fixed_m,42,1,0.023809523810,0.005584586887,0.005595013833,0.001867093411,0.139614672
fixed_m,42,2,0.047619047619,0.022213597107,0.022380055331,0.007493528560,0.555339928
fixed_m,42,4,0.095238095238,0.086880612842,0.089520221325,0.030382019610,2.172015321
fixed_m,42,8,0.190476190476,0.317329487817,0.358080885300,0.128419825601,7.933237195
fixed_r_to_half,42,1,0.476190476190,0.994415413113,0.994404986167,0.001867093411,24.860385328
fixed_r_to_half,42,2,0.452380952381,0.977786402893,0.977619944669,0.007493528560,24.444660072
fixed_r_to_half,42,4,0.404761904762,0.913119387158,0.910479778675,0.030382019610,22.827984679
fixed_r_to_half,42,8,0.309523809524,0.682670512183,0.641919114700,0.128419825601,17.066762805
fixed_m,43,1,0.023255813953,0.005328315962,0.005337806599,0.001781169955,0.133207899
fixed_m,43,2,0.046511627907,0.021199700046,0.021351226395,0.007147570432,0.529992501
fixed_m,43,4,0.093023255814,0.083001091055,0.085404905580,0.028961240080,2.075027276
fixed_m,43,8,0.186046511628,0.304447639755,0.341619622320,0.122096471482,7.611190994
fixed_m,44,1,0.022727272727,0.005089279060,0.005097936158,0.001701046052,0.127231976
fixed_m,44,2,0.045454545455,0.020253513193,0.020391744630,0.006825059746,0.506337830
fixed_m,44,4,0.090909090909,0.079373233584,0.081566978521,0.027638346555,1.984330840
fixed_m,44,8,0.181818181818,0.292292493499,0.326267914086,0.116237745896,7.307312337
fixed_r_to_half,44,1,0.477272727273,0.994910720940,0.994902063842,0.001701046052,24.872768024
fixed_r_to_half,44,2,0.454545454545,0.979746486807,0.979608255370,0.006825059746,24.493662170
fixed_r_to_half,44,4,0.409090909091,0.920626766416,0.918433021479,0.027638346555,23.015669160
fixed_r_to_half,44,8,0.318181818182,0.707707506501,0.673732085914,0.116237745896,17.692687663
fixed_m,45,1,0.022222222222,0.004865965629,0.004873878717,0.001626211111,0.121649141
fixed_m,45,2,0.044444444444,0.019369152031,0.019495514866,0.006523921920,0.484228801
fixed_m,45,4,0.088888888889,0.075975951922,0.077982059465,0.026404506859,1.899398798
fixed_m,45,8,0.177777777778,0.280814426605,0.311928237862,0.110798478669,7.020360665
fixed_m,46,1,0.021739130435,0.004657026982,0.004664274292,0.001556209535,0.116425675
fixed_m,46,2,0.043478260870,0.018541356326,0.018657097167,0.006242307110,0.463533908
fixed_m,46,4,0.086956521739,0.072790297727,0.074628388666,0.025251867306,1.819757443
fixed_m,46,8,0.173913043478,0.269967481134,0.298513554664,0.105738933482,6.749187028
fixed_r_to_half,46,1,0.478260869565,0.995342973018,0.995335725708,0.001556209535,24.883574325
fixed_r_to_half,46,2,0.456521739130,0.981458643674,0.981342902833,0.006242307110,24.536466092
fixed_r_to_half,46,4,0.413043478261,0.927209702273,0.925371611334,0.025251867306,23.180242557
fixed_r_to_half,46,8,0.326086956522,0.730032518866,0.701486445336,0.105738933482,18.250812972
fixed_m,47,1,0.021276595745,0.004461255923,0.004467906021,0.001490633764,0.111531398
fixed_m,47,2,0.042553191489,0.017765412473,0.017871624085,0.005978561580,0.444135312
fixed_m,47,4,0.085106382979,0.069799210370,0.071486496341,0.024173424917,1.744980259
fixed_m,47,8,0.170212765957,0.259709122407,0.285945985364,0.101024033020,6.492728060
fixed_m,48,1,0.020833333333,0.004277569313,0.004283682466,0.001429118317,0.106939233
fixed_m,48,2,0.041666666667,0.017037086855,0.017134729863,0.005731203249,0.425927171
fixed_m,48,4,0.083333333333,0.066987298108,0.068538919452,0.023162918763,1.674682453
fixed_m,48,8,0.166666666667,0.250000000000,0.274155677808,0.096622711232,6.250000000
fixed_r_to_half,48,1,0.479166666667,0.995722430687,0.995716317534,0.001429118317,24.893060767
fixed_r_to_half,48,2,0.458333333333,0.982962913145,0.982865270137,0.005731203249,24.574072829
fixed_r_to_half,48,4,0.416666666667,0.933012701892,0.931461080548,0.023162918763,23.325317547
fixed_r_to_half,48,8,0.333333333333,0.750000000000,0.725844322192,0.096622711232,18.750000000
fixed_m,49,1,0.020408163265,0.004104993088,0.004110622408,0.001371334686,0.102624827
fixed_m,49,2,0.040816326531,0.016352568480,0.016442489631,0.005498900724,0.408814212
fixed_m,49,4,0.081632653061,0.064340647938,0.065769958525,0.022214737216,1.608516198
fixed_m,49,8,0.163265306122,0.240803715845,0.263079834098,0.092507369229,6.020092896
fixed_m,50,1,0.020000000000,0.003942649343,0.003947841760,0.001316986935,0.098566234
fixed_m,50,2,0.040000000000,0.015708419436,0.015791367042,0.005280455261,0.392710486
fixed_m,50,4,0.080000000000,0.061846659978,0.063165468167,0.021323838496,1.546166499
fixed_m,50,8,0.160000000000,0.232086602511,0.252661872668,0.088653416159,5.802165063
