k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.216666666667,0.396044154591,7,3 5 7 9 11 13 15,5,5,1-5,2,2
0.219444444444,0.404595502312,7,3 5 7 9 11 13 15,5,5,1-5,2,2
0.222222222222,0.413175911167,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.225000000000,0.421782767480,6,5 7 10 12 13 15,4,4,1-4,2,2
0.227777777778,0.430413449520,6,5 7 10 12 13 15,4,4,1-4,2,2
0.230555555556,0.439065328297,6,5 7 10 12 13 15,4,4,1-4,2,2
0.233333333333,0.447735768366,6,5 7 10 12 13 15,4,4,1-4,2,2
0.236111111111,0.456422128626,8,3 4 5 6 12 13 14 15,4,4,1-4,4,4
0.238888888889,0.465121763128,7,1 2 3 12 13 14 15,4,4,1-4,3,3
0.241666666667,0.473832021879,4,12 13 14 15,4,4,1-4,0,0
0.244444444444,0.482550251649,4,12 13 14 15,4,4,1-4,0,0
0.247222222222,0.491273796781,4,12 13 14 15,4,4,1-4,0,0
0.250000000000,0.500000000000,4,12 13 14 15,4,4,1-4,0,0
0.252777777778,0.508726203219,4,12 13 14 15,4,4,1-4,0,0
0.255555555556,0.517449748351,4,12 13 14 15,4,4,1-4,0,0
0.258333333333,0.526167978121,4,12 13 14 15,4,4,1-4,0,0
0.261111111111,0.534878236872,7,1 2 3 12 13 14 15,4,4,1-4,3,3
0.263888888889,0.543577871374,7,5 6 7 12 13 14 15,4,4,1-4,3,3
0.266666666667,0.552264231634,7,5 6 7 12 13 14 15,4,4,1-4,3,3
0.269444444444,0.560934671703,7,5 6 7 12 13 14 15,4,4,1-4,3,3
0.272222222222,0.569586550480,5,7 10 12 13 15,4,4,1-4,1,1
0.275000000000,0.578217232520,5,7 10 12 13 15,4,4,1-4,1,1
0.277777777778,0.586824088833,8,1 5 9 10 11 13 14 15,7,7,1-7,1,1
0.280555555556,0.595404497688,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.283333333333,0.603955845409,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.286111111111,0.612475527172,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.288888888889,0.620960947800,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.291666666667,0.629409522551,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.294444444444,0.637818677908,8,1 4 7 9 10 12 13 15,7,7,1-7,1,1
0.297222222222,0.646185852361,8,1 4 7 9 10 12 13 15,7,7,1-7,1,1
0.300000000000,0.654508497187,5,7 9 11 13 15,3,3,1-3,2,2
0.302777777778,0.662784077229,6,6 7 8 13 14 15,3,3,1-3,3,3
0.305555555556,0.671010071663,6,6 7 8 13 14 15,3,3,1-3,3,3
0.308333333333,0.679183974773,6,6 7 8 13 14 15,3,3,1-3,3,3
0.311111111111,0.687303296708,8,1 3 5 7 9 11 13 15,3,3,1-3,5,5
0.313888888889,0.695365564245,8,1 3 5 7 9 11 13 15,3,3,1-3,5,5
0.316666666667,0.703368321538,6,1 2 3 13 14 15,3,3,1-3,3,3
0.319444444444,0.711309130870,6,1 2 3 13 14 15,3,3,1-3,3,3
0.322222222222,0.719185573395,6,1 2 3 13 14 15,3,3,1-3,3,3
0.325000000000,0.726995249870,3,13 14 15,3,3,1-3,0,0
0.327777777778,0.734735781393,3,13 14 15,3,3,1-3,0,0
0.330555555556,0.742404810123,3,13 14 15,3,3,1-3,0,0
0.333333333333,0.750000000000,3,13 14 15,3,3,1-3,0,0
0.336111111111,0.757519037455,3,13 14 15,3,3,1-3,0,0
0.338888888889,0.764959632117,3,13 14 15,3,3,1-3,0,0
0.341666666667,0.772319517508,3,13 14 15,3,3,1-3,0,0
0.344444444444,0.779596451735,6,1 2 3 13 14 15,3,3,1-3,3,3
0.347222222222,0.786788218176,6,1 2 3 13 14 15,3,3,1-3,3,3
0.350000000000,0.793892626146,6,2 3 4 13 14 15,3,3,1-3,3,3
0.352777777778,0.800907511576,8,2 3 4 8 9 13 14 15,3,3,1-3,5,5
0.355555555556,0.807830737663,7,3 5 7 9 11 13 15,3,3,1-3,4,4
0.358333333333,0.814660195525,7,3 5 7 9 11 13 15,3,3,1-3,4,4
0.361111111111,0.821393804843,7,3 5 7 9 11 13 15,3,3,1-3,4,4
0.363888888889,0.828029514495,5,8 9 13 14 15,3,3,1-3,2,2
0.366666666667,0.834565303179,6,5 1 6 10 11 15,3,3,1-3,3,3
0.369444444444,0.840999180031,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.372222222222,0.847329185229,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.375000000000,0.853553390593,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
0.377777777778,0.859669900169,8,8 9 10 11 12 13 14 15,8,8,1-8,0,0
