Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_rank,selected_peak_label,is_active_selected_peak
9609,794.9757939797723,5.059938909633673,Rising,5.579546255867555,0,,0
241670,794.9758133170978,5.447936919717748,Falling,5.068953085453966,0,,0
9909,794.9758655994967,4.56286890216116,Rising,4.833905529310229,0,,0
241370,794.9758849368222,4.895224193798535,Falling,4.454642419709218,0,,0
10209,794.9759372192211,4.14926297231892,Rising,4.292131195696914,0,,0
241070,794.9759565565466,4.435249331913994,Falling,4.034794284248404,0,,0
10509,794.9760088389455,3.791299760898599,Rising,3.9507547599250303,0,,0
240770,794.976028176271,4.049464761247389,Falling,3.8026477023971603,0,,0
10809,794.9760804586699,3.5168006270595367,Rising,3.680876418971165,0,,0
240470,794.9760997959954,3.7007753362056808,Falling,3.5080511584528637,0,,0
11109,794.9761520783943,3.251575279640049,Rising,3.4131784319191385,0,,0
240168,794.9761718931846,3.4169653537581257,Falling,3.2795968796769657,0,,0
11409,794.9762236981187,3.0327188641943175,Rising,3.210180212353746,0,,0
239868,794.976243512909,3.1795613654753243,Falling,3.110407071677301,0,,0
11709,794.976295317843,2.9871375155747137,Rising,3.0657100793707603,0,,0
239568,794.9763151326334,2.979447112172376,Falling,2.9955133559785607,0,,0
12009,794.9763669375674,2.9593408768168015,Rising,2.972028477037601,0,,0
239268,794.9763867523578,2.951650473414463,Falling,2.9250628650459274,0,,0
12309,794.9764385572918,2.9315442380588888,Rising,2.9175360546421127,0,,0
238968,794.9764583720822,2.923853834656551,Falling,2.8896812132331355,0,,0
12609,794.9765101770162,2.903747599300976,Rising,2.8906966086971084,0,,0
238668,794.9765299918066,2.896057195898638,Falling,2.8714442732192205,0,,0
12909,794.9765817967406,2.8759509605430633,Rising,2.8740038072608605,0,,0
238368,794.976601611531,2.868260557140726,Falling,2.8552996894424596,0,,0
13209,794.976653416465,2.8481543217851506,Rising,2.851482527800684,0,,0
238068,794.9766732312554,2.840463918382813,Falling,2.837135712367189,0,,0
13509,794.9767250361894,2.8203576830272383,Rising,2.823685889042771,0,,0
237768,794.9767448509798,2.8126672796249004,Falling,2.8093390736092774,0,,0
13809,794.9767966559137,2.792561044269326,Rising,2.7958892502848602,0,,0
237468,794.9768164707042,2.7848706408669877,Falling,2.781542434851365,0,,0
14109,794.9768682756381,2.7647644055114133,Rising,2.7680926115269475,0,,0
237168,794.9768880904286,2.7570740021090754,Falling,2.7537457960909864,0,,0
14409,794.9769398953625,2.7369677667535006,Rising,2.7403115112626906,0,,0
236868,794.976959710153,2.7292773633511627,Falling,2.7259560633308713,0,,0
14709,794.9770115150869,2.709171127995588,Rising,2.7125140546904767,0,,0
236568,794.9770313298774,2.7014807245932504,Falling,2.6981517916303184,0,,0
15009,794.9770831348113,2.681374489237675,Rising,2.6847038765453437,0,,0
236268,794.9771029496018,2.6736840858353377,Falling,2.6703366157243646,0,,0
15309,794.9771547545357,2.653577850479763,Rising,2.6568846115623277,0,,0
235968,794.9771745693262,2.645887447077425,Falling,2.6425141703480475,0,,0
15609,794.9772263742601,2.6257812117218506,Rising,2.6290598944764687,0,,0
235668,794.9772461890504,2.618090808363636,Falling,2.6146880902364042,0,,0
15912,794.9772987101818,2.5977066065578267,Rising,2.601233360022801,0,,0
235368,794.9773178087748,2.5902941696057233,Falling,2.586862010124473,0,,0
16212,794.9773703299062,2.569909967799914,Rising,2.5734086429363647,0,,0
235068,794.9773894284992,2.5624975308478106,Falling,2.5590395647472888,0,,0
16512,794.9774419496306,2.5421133290420017,Rising,2.545589377949729,0,,0
234768,794.9774610482236,2.5347008920898983,Falling,2.5312243888387975,0,,0
16812,794.977513569355,2.5143166902840894,Rising,2.5177791998029946,0,,0
234468,794.977532667948,2.5069042533319856,Falling,2.5034356556321873,0,,0
17112,794.9775851890794,2.4865200515261767,Rising,2.489988649228289,0,,0
234168,794.9776042876724,2.4791076145740734,Falling,2.475645105056906,0,,0
17412,794.9776568088038,2.458723412768264,Rising,2.46219991602393,0,,0
233868,794.9776759073968,2.4513109758161606,Falling,2.4478349269129263,0,,0
17712,794.9777284285282,2.4309267740103513,Rising,2.434384740118841,0,,0
233568,794.9777475271212,2.423514337058248,Falling,2.4200156619304884,0,,0
18012,794.9778000482524,2.4031301352965624,Rising,2.406562294742813,0,,0
233268,794.9778191468456,2.395717698300335,Falling,2.3921909448446277,0,,0
18312,794.9778716679768,2.3753334965386497,Rising,2.3787362146308806,0,,0
232965,794.9778914827673,2.367643093136312,Falling,2.364364410390384,0,,0
18612,794.9779432877012,2.347536857780737,Rising,2.350910134518084,0,,0
