rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
60,12/43,0.27906976744186046,43,12,1/43,0.023255813953488372,129.0,0.5908184254897182,0.09081842548971819,True,1.1191639857865663,5.848777609293069,40,0.5640700869872632,0.7663986131179454,8.60018204657962,13.84205635810226,40,0.8787094188445939,0.9463983969896029
61,12/59,0.2033898305084746,59,12,1/59,0.01694915254237288,177.0,0.3556540263301895,0.1443459736698105,True,1.6748258164034349,5.637261920362942,27,0.5952333766232408,0.7514316583953415,8.597675703720572,13.259768835411366,27,0.8786478978364191,0.9348929159602933
62,16/57,0.2807017543859649,57,16,1/57,0.017543859649122806,171.0,0.595855315961869,0.09585531596186903,True,1.457305703592617,6.75987641856365,15,0.5831108724926536,0.792316917776371,8.572576433620583,14.733239886071303,15,0.8780303236034617,0.9501771189169035
63,16/59,0.2711864406779661,59,16,1/59,0.01694915254237288,177.0,0.5663627636418609,0.06636276364186089,True,1.6134318034761623,7.166537240209485,15,0.5918229280347683,0.8178576490924705,8.554830565810843,15.304241688359859,15,0.8775920502383432,0.960493916203371
64,13/55,0.23636363636363636,55,13,1/55,0.01818181818181818,165.0,0.45721249576058004,0.04278750423941996,True,1.252079642030928,5.824472258123609,27,0.5715803817088363,0.7537478879999853,8.534367232681724,13.820384741527773,27,0.8770849813908703,0.9409669521112082
65,14/57,0.24561403508771928,57,14,1/57,0.017543859649122806,171.0,0.486222828815919,0.013777171184081005,True,1.333786652112546,6.075249875369166,18,0.5761810869561823,0.7582115340344506,8.470863301790395,13.84218626641429,18,0.8754998823377899,0.9364836590435967
66,19/65,0.2923076923076923,65,19,1/65,0.015384615384615385,195.0,0.6313536890992935,0.13135368909929346,True,1.85912372449174,6.581226202502788,22,0.6054148719096403,0.8015750204902429,8.413314371876975,14.577427396959342,22,0.8740483097291595,0.9553862274319235
67,17/70,0.24285714285714285,70,17,1/70,0.014285714285714285,210.0,0.4775675848247425,0.022432415175257514,True,2.3917871017335273,5.815372393302472,37,0.6343047851903337,0.7728346642326045,8.410818629213688,13.64625310617368,37,0.8739850323795818,0.9464947270104936
68,17/59,0.288135593220339,59,17,1/59,0.01694915254237288,177.0,0.6186633499355574,0.11866334993555738,True,1.405049596504204,6.426617843519879,15,0.5801829894306615,0.7917960274142191,8.404430074214297,14.523741595112343,15,0.8738229322493523,0.9542585325259024
69,18/61,0.29508196721311475,61,18,1/61,0.01639344262295082,183.0,0.6397428174258046,0.13974281742580463,True,1.533407565229683,5.624710328719282,10,0.587364305059673,0.7651545851548812,8.36302662175872,13.339085969105858,10,0.8727680515817234,0.9420591438524965
70,13/57,0.22807017543859648,57,13,1/57,0.017543859649122806,171.0,0.43132322109079585,0.06867677890920415,True,1.1836344421701483,5.1831022334513674,18,0.5677168315094359,0.7452506821523478,8.360483108355542,13.149484745245141,18,0.8727030027427679,0.9395353713030223
71,19/69,0.2753623188405797,69,19,1/69,0.014492753623188406,207.0,0.5793412732281257,0.07934127322812567,True,2.1780830688172514,6.867394686278395,46,0.6228169778477346,0.802913898852343,8.360153849281494,14.886894081349213,46,0.872694580061964,0.954275032804759
72,18/67,0.26865671641791045,67,18,1/67,0.014925373134328358,201.0,0.5584776609860412,0.058477660986041236,True,1.9203046119791765,6.275043732873558,1,0.608775137682288,0.7933097701750166,8.336279409524774,14.22540157751825,1,0.872082585371057,0.9529539638503475
73,20/67,0.29850746268656714,67,20,1/67,0.014925373134328358,201.0,0.6500423175001702,0.15004231750017016,True,1.9056537001994298,7.484398267712115,37,0.6079713845495797,0.828687191192249,8.328462945358835,15.593990754429024,37,0.8718816741771684,0.9613528330378595
74,17/60,0.2833333333333333,60,17,1/60,0.016666666666666666,180.0,0.6039558454088795,0.10395584540887948,True,1.3749488904726157,6.691653927731284,15,0.5784938827550399,0.8022564901312021,8.320782224438958,14.803780445721062,15,0.8716839899173439,0.956663744035684
75,13/56,0.23214285714285715,56,13,1/56,0.017857142857142856,168.0,0.444017761948346,0.055982238051653976,True,1.049668394481155,6.319138273625877,27,0.5601313326528138,0.7643469984238965,8.319843707007795,14.370877232162613,27,0.8716598167904817,0.9420493130549904
76,13/60,0.21666666666666667,60,13,1/60,0.016666666666666666,180.0,0.3960441545911204,0.10395584540887959,True,1.3456248621026332,5.717716881483104,4,0.5768465908727095,0.7766875955916926,8.301614750246042,13.809383492338815,4,0.8711895280603931,0.9516762983713365
77,15/59,0.2542372881355932,59,15,1/59,0.01694915254237288,177.0,0.5133102607188873,0.013310260718887301,True,1.1700149797406518,6.14690710103912,18,0.5669470497224937,0.7586229221626734,8.223080276188991,13.883692199041292,18,0.86914660092603,0.9345613086420421
78,10/47,0.2127659574468085,47,10,1/47,0.02127659574468085,141.0,0.38408992486623583,0.11591007513376417,True,0.953405113114973,5.756086980531898,4,0.5546630535812236,0.7639835674992423,8.19900680234702,13.781913504055597,4,0.868514886262948,0.9459365047624888
79,13/47,0.2765957446808511,47,13,1/47,0.02127659574468085,141.0,0.5831646772915651,0.08316467729156507,True,0.9346278631815934,6.689401417819373,22,0.5535948165760577,0.7983353268357921,8.185097881287676,14.866315545729053,22,0.8681487224014195,0.9560425193640247
