rank_by_ERmin_F87,k_fraction,k,q,m,s_min_fraction,s_min,F_min_tau0,L_over_R,geometry_gap_to_0p5,has_positive_s_min,ER_min_dB_F32p21,ER_mean_dB_F32p21,ER_worst_mode_F32p21,efficiency_min_F32p21,efficiency_mean_F32p21,ER_min_dB_F87,ER_mean_dB_F87,ER_worst_mode_F87,efficiency_min_F87,efficiency_mean_F87
49,15/52,0.28846153846153844,52,15,1/52,0.019230769230769232,156.0,0.6196578321437787,0.11965783214377868,True,1.793624395426495,6.40484054651655,1,0.6018063520268125,0.7877565714435567,9.135695568766346,14.45014431245901,1,0.891249839234696,0.9517777493957541
50,9/43,0.20930232558139536,43,9,1/43,0.023255813953488372,129.0,0.3735333088041596,0.12646669119584042,True,1.6585911191259606,6.417864586703943,46,0.5943324156418532,0.7920714214670346,9.053337732112436,14.499529859712501,46,0.8893981370400776,0.9552437562163768
51,13/53,0.24528301886792453,53,13,1/53,0.018867924528301886,159.0,0.48518333608872,0.014816663911280004,True,1.7395033979867605,5.990993562673807,18,0.59881630317221,0.7611296339492798,9.031133277528788,13.805919574837803,18,0.8888941968360417,0.9408296737919416
52,13/44,0.29545454545454547,44,13,1/44,0.022727272727272728,132.0,0.6408662784207149,0.14086627842071486,True,1.647322576226867,5.883814760287403,10,0.5937066823772691,0.7737746595754228,8.964268795970224,13.75961020965037,10,0.8873645277467501,0.9488677464267287
53,17/63,0.2698412698412698,63,17,1/63,0.015873015873015872,189.0,0.5621718523237424,0.06217185232374245,True,2.4340361990791353,6.909472249846566,27,0.63655840116682,0.8154647596945614,8.94746848965161,14.97108509413126,27,0.8869773049948484,0.9598935101194702
54,12/55,0.21818181818181817,55,12,1/55,0.01818181818181818,165.0,0.4007047666771273,0.09929523332287271,True,1.7830078684078394,5.022903945179155,27,0.601220406648091,0.755499942835402,8.94632851300093,13.044662542793267,27,0.8869509881436108,0.9483473846889309
55,9/44,0.20454545454545456,44,9,1/44,0.022727272727272728,132.0,0.3591337215792852,0.1408662784207148,True,1.57407695377767,5.990567278312834,1,0.5896320768290525,0.7696605923700993,8.909201170902808,13.914391897521623,1,0.8860909606902255,0.9475175437225039
56,15/56,0.26785714285714285,56,15,1/56,0.017857142857142856,168.0,0.5559822380516539,0.05598223805165392,True,1.7934457898302476,5.60606202376441,31,0.6017964968671489,0.7662425009390579,8.881663561719058,13.475411331166583,31,0.8854493945086886,0.9455017090472083
57,13/54,0.24074074074074073,54,13,1/54,0.018518518518518517,162.0,0.4709275855447621,0.029072414455237894,True,1.5545316483853036,5.764742014821443,6,0.5885426773881461,0.7666819951392211,8.827716254846163,13.707561996326499,6,0.8841834188058991,0.9462734793098737
58,14/55,0.2545454545454545,55,14,1/55,0.01818181818181818,165.0,0.5142780253968481,0.014278025396848082,True,1.5606024605341768,6.244686558491509,18,0.5888811405596968,0.7675673489117462,8.766869566550774,14.063495689024995,18,0.8827409629140768,0.940476043410959
59,10/43,0.23255813953488372,43,10,1/43,0.023255813953488372,129.0,0.4453143958110627,0.05468560418893731,True,1.171132048459452,6.304897166539077,40,0.5670101994672786,0.7623338160838542,8.667586383921796,14.42164981400623,40,0.8803538739854726,0.9438527124564041
