Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_role,is_highest_peak,is_second_highest_peak
16937,794.9775434109067,2.88,Rising,2.8239228506047223,,0,0
233054,794.9776102559829,2.7,Falling,2.7615822164105426,,0,0
17237,794.9776150306311,2.74,Rising,2.6899803857469284,,0,0
232754,794.9776818757073,2.6,Falling,2.6497580908793266,,0,0
17537,794.9776866503555,2.64,Rising,2.5952402745994974,,0,0
232454,794.9777534954317,2.53,Falling,2.5724877410918165,,0,0
17837,794.9777582700799,2.58,Rising,2.5329192546583426,,0,0
232154,794.9778251151561,2.49,Falling,2.519872507355303,,0,0
18137,794.9778298898043,2.54,Rising,2.492611964694305,,0,0
231854,794.9778967348805,2.46,Falling,2.4892383131742,,0,0
18437,794.9779015095287,2.52,Rising,2.4730728996403664,,0,0
231554,794.9779683546049,2.45,Falling,2.4781399150048653,,0,0
18737,794.9779731292531,2.51,Rising,2.4731611637789745,,0,0
231254,794.9780399743292,2.44,Falling,2.486593658058151,,0,0
19037,794.9780447489775,2.53,Rising,2.4911637790127124,,0,0
